,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d
1428,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1325,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
1427,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1425,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1424,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1423,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1422,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1421,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1420,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1426,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1434,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1324,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
1322,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
1297,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1310,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1311,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1312,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1313,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1314,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1315,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1316,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1317,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1318,Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625
1319,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
1320,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
372,Buenavista,Riohacha,85,0.11,Buenavista - Riohacha,10.893997,-72.887421,11.538415,-72.916784
149,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
148,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
147,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
146,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
1321,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
133,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
134,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
135,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
136,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
137,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
1323,Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261
138,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
140,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
141,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
142,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
143,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
144,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
145,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
139,Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974
1435,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1436,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1437,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
47,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
46,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
45,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
