,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d
1284,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1283,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1282,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1281,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1280,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
370,Buenavista,Riohacha,85,0.11,Buenavista - Riohacha,10.893997,-72.887421,11.538415,-72.916784
1139,Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563
1288,San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139
1169,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
1140,Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563
1226,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
1227,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
1228,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
1229,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1230,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1231,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1233,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1234,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1235,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1236,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1232,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1237,S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633
1225,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
292,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
1057,Pamplona,Bucaramanga,125,0.16,Pamplona - Bucaramanga,7.37823,-72.650337,7.119349,-73.122742
1067,Pamplona,Bucaramanga,125,0.16,Pamplona - Bucaramanga,7.37823,-72.650337,7.119349,-73.122742
