,Name,Latitude,Longitude,Group
128,Bogota,,,128
129,Tunja,,,129
129,Agua_Clara_Casa,,,129
130,Valledupar,,,130
130,Bosconia,,,130
131,Valledupar,,,131
131,La_Paz,,,131
132,Villavicencio,,,132
132,Granada,,,132
133,Villeta,,,133
133,Bogota,,,133
134,Villeta,,,134
134,Madrid,,,134
135,Ye,,,135
135,Planeta_Rica,,,135
136,Yopal,,,136
136,Aguazul,,,136
137,Zarzal,,,137
137,La_Paila,,,137
138,Zipaquira,,,138
138,Bogota,,,138
